Sun Jun 30 23:01:01 2024    output.pstats

         462961 function calls (461853 primitive calls) in 6956.993 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    0.000    0.000 twodim_base.py:432(_trilu_dispatcher)
      100    0.000    0.000    0.000    0.000 fromnumeric.py:3317(_mean_dispatcher)
      100    0.000    0.000    0.000    0.000 fromnumeric.py:1117(_argmax_dispatcher)
      100    0.000    0.000    0.000    0.000 multiarray.py:341(where)
      459    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      100    0.000    0.000    0.000    0.000 multiarray.py:1368(may_share_memory)
      100    0.000    0.000    0.000    0.000 {sklearn.svm._libsvm.set_verbosity_wrap}
      393    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      200    0.000    0.000    0.000    0.000 {built-in method sys.settrace}
      300    0.000    0.000    0.000    0.000 inspect.py:238(isframe)
      276    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       67    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      224    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 tokenize.py:350(detect_encoding)
       62    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      100    0.000    0.000    0.000    0.000 tokenize.py:672(generate_tokens)
        1    0.000    0.000    0.000    0.000 tokenize.py:374(read_or_stop)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      100    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        9    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       54    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        3    0.000    0.000    0.000    0.000 blas.py:259(find_best_blas_type)
      216    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      100    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      200    0.000    0.000    0.000    0.000 __init__.py:450(pid)
       27    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       32    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      100    0.000    0.000    0.000    0.000 {built-in method sys.gettrace}
        9    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        2    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
      358    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       54    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       59    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        2    0.000    0.000    0.000    0.000 enum.py:836(__and__)
       68    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        2    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        3    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       27    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        4    0.000    0.000    0.000    0.000 enum.py:284(__call__)
       13    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 tokenize.py:380(find_cookie)
        2    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        9    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        4    0.000    0.000    0.000    0.000 enum.py:526(__new__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
        4    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       11    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


